date,玉山,台新,中信,國泰,花旗,富邦
2010-04-01,5572.7995419167605241,5877.5096514746821263,6043.8190588205420017,7355.2770594620548210,7513.1575939822446236,5978.7153470745502820
2010-05-01,5607.0028072569312958,5948.6895523104549461,6263.5782452871092579,8000.2274701186980438,7783.4485281600864463,5957.9001785007228098
2010-06-01,6953.5771258299980540,7190.3554647428282326,7724.7195054060946874,7949.0567487074211990,8682.6920087085161003,6789.3601375343066038
2010-07-01,5870.4937257976032584,6363.4085269114840084,6570.2670359057662647,7244.4371972724652931,8631.4156895458780560,7255.9121402309062977
2010-08-01,6268.0318639365191917,6696.7283784454071177,7099.5456532165344183,7595.5648978936010747,8660.9343971086100245,7835.3612243061095068
2010-09-01,5503.6619071543284323,6236.0819219055309925,6376.1821406163604537,7513.0878781048093995,8077.9899526662861722,8112.1803269523890991
2010-10-01,5688.5178771418281209,7065.8351509938250745,6303.0600169254918364,6899.8781606019117481,8572.1361717935752835,8457.4287431094390887
2010-11-01,5835.8637891768788635,6939.1535287024587521,6850.1848792518953469,7737.6500688840779374,8556.0543540599231318,8229.5185776771245564
2010-12-01,6260.4228471250643989,7131.0691163046817425,7500.2936118570396776,8813.6909209788903419,9040.2267221784354767,8184.2433518464436013
2011-01-01,7357.5248881654998260,7079.1733521877797795,7287.8214211576125707,7800.0571929875581018,9340.1341923288455827,7580.6020152096098238
2011-02-01,5369.7746673835216284,5734.0615344205795386,5637.8246165131669251,5878.5344730844094281,7715.1885085656259270,5744.0605815909025881
2011-03-01,5924.2034327745310432,6424.6758366917820221,6879.9831110798353330,8972.6506155916765527,7932.3357110702233018,7022.8686171496654187
2011-04-01,5857.3832156932173859,5877.6778236137187502,5885.6222176063414716,7113.9814261948484541,7791.7696985395326143,6001.9534690086945383
2011-05-01,6195.5491355572608676,6311.9661023636718348,6695.4057055988995420,8112.0727933808982469,8477.6270832698805323,6570.2327099903282148
2011-06-01,8052.3627451557980193,7923.3069589310786552,7968.9887578940665220,8304.9610557539533890,9488.7196276693840562,7187.1170653366096146
2011-07-01,6488.6235359596061812,6310.0776895053329237,6661.0611499752829075,6827.5587765747833052,8748.0491988004755209,6613.7557879727533738
2011-08-01,7147.7625185310759874,7327.6918474017911294,7468.5869528601180627,7827.1829075462454584,8665.9501751612713495,8194.6585983184476188
2011-09-01,6253.2804939822274583,6453.7791251400363530,6545.8880509985988445,7154.1490537404519400,8043.9866348152994971,6886.7169340827505736
2011-10-01,6882.4952870920362379,7134.9343403926530251,6695.3886244870848136,6169.4482289595855847,8333.9220229007450167,7774.3586971904355191
2011-11-01,6338.0989222507232959,6655.7930883165427308,6788.5985501043209608,8720.8461893945223283,8294.5417272860141016,8134.3331048275959547
2011-12-01,7110.1692572350006291,6728.2398097148347869,7271.0885894843729488,8219.5956725030817374,8999.0781408920701070,8187.5578187753459344
2012-01-01,7796.4237035993290718,6890.8418976977421419,7130.8239209631400078,6764.2708612153151857,9234.4237662581896445,7805.8449930959386675
2012-02-01,6347.2207315403205809,6051.6172934049485270,6261.8490229840655122,6467.4230295744447206,7946.0435176463095739,6461.0633096902353433
2012-03-01,6300.7787097783228929,5870.3087517561598146,6092.7853705872474983,8655.9637757345715950,7737.0206893944406113,7314.6791470475269215
2012-04-01,6436.6714501430230726,6203.3393231902736721,6262.0279905368485184,6198.9636505339727432,7651.7563744188987435,6357.4613445564864383
2012-05-01,6747.5425308133443176,6554.7126367993095661,7012.4816832572230714,9451.8613533981033984,8466.4229363094092746,7194.2549785859518076
2012-06-01,8550.9043083630892728,7750.2333199064740216,8928.0298861621986265,7698.7881876795805235,9240.0715891538502559,7811.3097992773640171
2012-07-01,7269.7761371300277557,7104.4133476856835307,7130.2317146432283576,8012.2676865439464096,8752.7677884753984174,7678.0086833679607759
2012-08-01,6997.0791986700189811,6665.0852547402479455,7206.6018289148099138,7578.9045455403719032,8315.2286364576867370,7527.1918377370451489
2012-09-01,6434.4549320629715726,5732.0649526947907276,6413.1394354148845167,6207.9772614439187840,7715.4723046682457571,6703.7616224800281243
2012-10-01,6700.2792895301462516,7712.8525895558679401,7495.1732525318248735,7974.4472608955637935,7920.4989091807985588,8712.0243733288888073
2012-11-01,6397.1184871676679327,6336.6626977205103509,6800.3709342696095860,7385.8059305130977612,7404.3169851966807684,7755.4114329910714599
2012-12-01,7181.8186565863881107,6190.0071315518946589,7167.4363536913820440,6297.2060460537815435,8250.3696445557816634,7382.9513857729490275
2013-01-01,7788.9244228651742397,7420.3823388471480363,8019.3972112585431690,9304.9076724926091280,8772.0138450486535908,9160.6838461448902957
2013-02-01,6541.3993718213141409,5964.3533104311659339,6606.6090350614728137,5827.8289479177974665,7323.9886794107978132,6374.3519146342298657
2013-03-01,6310.7397190408964473,5657.3643919520771826,6355.8339257569987799,6888.0537963133290703,7407.8379592920261855,6814.4113217757783311
2013-04-01,6517.0883855687979512,6201.8944109632673831,6776.2974566761310147,8277.4178548835808753,7427.3331903395469456,6787.9936722670739690
2013-05-01,6829.0473328728910097,6480.9484380807924081,7113.2643541115740655,8328.0718285803829766,8081.8192378388350974,7583.7424780997757546
2013-06-01,9403.8509569618272980,7944.9886073236759203,9155.2818820932601025,7939.9226050101764680,8857.9974304592024916,8721.5798743209232783
2013-07-01,7182.6266884746623051,6850.4749672348546421,7556.2791908945755100,8294.9812177393258911,7900.8027239247926800,8198.5436616226702423
2013-08-01,7015.7555072587935174,6531.1945020759386303,7000.3056832761631566,7479.8194804501662476,7909.7943276653771361,7537.0273278148857752
2013-09-01,6725.4424536299239305,6429.4527660585438006,6577.9412281372514575,6628.6972336555949076,7398.0067054291436806,7412.4469960424576455
2013-10-01,6969.8042631201256382,7455.9462199624720053,7034.0151770777285656,8180.4992709855877374,8378.6485506095614133,8836.9164901050062502
2013-11-01,6458.8102033955646534,6318.3005665653313029,6197.3653389253884508,6871.6157573500216100,7712.1595550098970209,7369.6610874519746124
2013-12-01,7200.8456569686941023,6800.3520421636626075,8899.8869653378571468,8757.0430398264634415,8483.4607059367993831,8485.7448414939724427
2014-01-01,7534.5356979709373934,6692.4754845363290698,7756.5282765673219363,7830.5913832938622200,8902.6754169179932066,7882.3887281647023798
2014-02-01,6073.8666773764961318,5826.4702396102577485,6813.4234694801477133,6895.4367948948791967,7198.4622657630856469,6910.6396074386362066
